iter	RMSE
0	7455906.395
1	7223641.285
2	7023787.795
3	6845363.908
4	6690757.129
5	6561108.314
6	6447076.697
7	6346041.797
8	6249049.866
9	6161698.754
10	6084655.575
11	6011558.857
12	5955473.056
13	5894489.144
14	5846878.059
15	5809880.437
16	5773752.552
17	5740136.828
18	5710964.771
19	5685866.506
20	5663707.46
21	5640471.099
22	5621885.632
23	5605059.744
24	5588521.756
25	5566402.146
26	5551471.191
27	5533605.324
28	5518205.442
29	5506885.309
30	5487444.816
31	5478338.695
32	5468546.13
33	5458246.318
34	5451642.51
35	5441611.826
36	5430956.891
37	5421829.347
38	5413149.942
39	5402762.025
40	5395683.838
41	5390243.246
42	5383231.908
43	5378000.692
44	5373268.675
45	5369455.098
46	5366308.85
47	5361767.114
48	5358094.564
49	5354654.681
50	5347758.24
51	5344488.736
52	5340736.649
53	5331265.563
54	5328927.167
55	5326474.767
56	5323706.892
57	5320987.81
58	5317470.64
59	5314679.098
60	5311051.899
61	5308124.267
62	5304362.835
63	5299984.333
64	5297205.039
65	5294321.104
66	5292997.813
67	5290675.783
68	5279402.534
69	5276361.692
70	5274439.497
71	5273542.646
72	5266775.235
73	5262892.808
74	5261731.549
75	5260473.574
76	5257339.834
77	5255126.829
78	5249794.107
79	5248694.03
80	5247350.244
81	5240334.596
82	5237545.595
83	5220299.113
84	5217956.665
85	5216758.543
86	5213947.683
87	5213038.029
88	5211343.692
89	5209371.475
90	5207929.981
91	5206296.193
92	5204817.973
93	5203730.791
94	5202576.138
95	5200891.065
96	5195639.572
97	5194148.554
98	5193290.018
99	5192633.016
100	5190163.244
101	5189354.078
102	5186800.102
103	5185789.299
104	5183603.619
105	5179825.405
106	5178977.526
107	5178344.481
108	5177202.477
109	5169419.261
110	5168654.738
111	5168183.109
112	5167047.32
113	5166296.501
114	5165805.741
115	5165040.144
116	5163071.143
117	5162568.697
118	5162034.619
119	5161125.461
120	5157616.673
121	5151636.026
122	5149817.068
123	5149299.202
124	5148689.749
125	5147999.639
126	5145474.292
127	5142424.312
128	5141718.548
129	5141277.373
130	5139018.96
131	5138530.361
132	5137967.317
133	5137210.433
134	5136124.228
135	5134196.463
136	5133802.925
137	5133355.311
138	5132970.133
139	5132406.841
140	5131702.775
141	5115381.126
142	5112710.194
143	5110618.662
144	5110224.991
145	5107518.301
146	5106845.244
147	5106362.296
148	5105515.37
149	5104309.519
150	5103896.069
151	5103359.394
152	5102582.838
153	5101843.87
154	5100268.806
155	5098039.737
156	5096950.057
157	5096549.994
158	5095855.281
159	5093688.197
160	5092964.551
161	5091375.089
162	5089739.086
163	5074095.173
164	5073255.724
165	5072190.611
166	5071062.524
167	5051358.33
168	5050907.686
169	5049731.197
170	5049361.759
171	5048269.527
172	5045756.556
173	5045187.568
174	5039978.405
175	5039049.421
176	5038093.285
177	5019083.691
178	5018320.123
179	5017761.567
180	5016785.346
181	5015065.46
182	5014458.41
183	5000861.014
184	5000347.488
185	4999927.886
186	4998342.16
187	4998015.699
188	4997495.72
189	4997173.667
190	4993977.374
191	4993662.479
192	4992605.404
193	4992250.091
194	4990564.755
195	4972772.116
196	4971124.223
197	4970441.16
198	4969587.756
199	4967775.823
200	4967075.552
201	4966733.047
202	4965797.367
203	4964721.593
204	4964143.074
205	4963514.585
206	4961372.619
207	4961085.126
208	4960740.262
209	4960074.519
210	4959690.162
211	4946718.643
212	4946180.234
213	4942553.488
214	4941946.414
215	4941346.75
216	4940858.289
217	4940419.752
218	4928503.655
219	4927879.881
220	4926853.065
221	4925051.1
222	4923848.213
223	4923378.987
224	4922311.036
225	4921746.751
226	4921450.281
227	4920609.452
228	4919973.562
229	4919527.626
230	4917916.927
231	4916203.468
232	4915667.921
233	4914783.379
234	4914308.723
235	4912938.722
236	4896713.077
237	4895945.764
238	4895241.505
239	4894699.772
240	4894439.144
241	4894140.939
242	4893596.329
243	4893135.708
244	4892324.887
245	4891463.486
246	4890847.394
247	4890317.521
248	4879561.061
249	4878840.013
250	4877631.4
251	4877215.242
252	4876498.769
253	4875127.871
254	4874585.829
255	4873750.326
256	4872909.364
257	4872516.359
258	4872094.775
259	4870983.559
260	4870746.213
261	4870227.364
262	4869468.868
263	4869212.364
264	4867731.777
265	4867253.055
266	4866972.026
267	4865837.633
268	4863696.966
269	4863121.595
270	4861801.475
271	4861525.772
272	4861286.95
273	4860688.393
274	4860168.079
275	4859799.939
276	4849563.115
277	4849095.013
278	4847254.069
279	4846898.034
280	4835770.904
281	4820856.367
282	4818557.309
283	4804244.456
284	4790437.469
285	4789947.943
286	4776674.178
287	4776005.946
288	4775690.45
289	4774751.479
290	4773818.113
291	4773605.976
292	4772862.002
293	4772261.258
294	4771597.247
295	4770908.206
296	4770199.511
297	4757423.498
298	4756888.938
299	4755875.718
300	4755444.879
301	4752751.931
302	4751950.591
303	4750791.487
304	4750123.425
305	4749902.212
306	4749422.984
307	4748439.655
308	4747758.327
309	4747388.519
310	4746937.008
311	4745088.626
312	4744398.235
313	4743811.673
314	4741338.257
315	4740921.328
316	4740585.54
317	4739992.653
318	4739185.31
319	4726901.943
320	4726285.121
321	4725920.571
322	4725259.443
323	4724466.23
324	4723309.896
325	4722513.366
326	4722005.821
327	4721375.368
328	4720917.427
329	4720505.182
330	4719969.815
331	4719296.216
332	4718532.616
333	4710949.521
334	4710313.267
335	4710030.306
336	4703395.558
337	4702976.001
338	4691745.743
339	4691504.838
340	4691011.212
341	4690516.819
342	4689466.762
343	4688876.243
344	4688372.745
345	4687901.616
346	4687413.638
347	4677991.642
348	4677032.167
349	4676662.142
350	4674982.848
351	4664158.394
352	4663864.6
353	4663098.545
354	4662307.082
355	4655345.382
356	4654802.998
357	4653937.789
358	4653300.624
359	4652060.835
360	4651702.76
361	4648561.988
362	4648113.769
363	4647783.083
364	4645064.365
365	4634946.024
366	4625212.057
367	4624667.292
368	4624249.308
369	4623988.875
370	4623709.503
371	4614162.616
372	4613535.126
373	4613158.527
374	4611951.888
375	4602952.157
376	4598985.464
377	4590333.868
378	4590094.621
379	4589521.859
380	4588942.192
381	4588718.011
382	4588262.919
383	4587826.987
384	4587672.756
385	4587415.429
386	4586804.588
387	4586358.22
388	4584974.354
389	4583788.964
390	4583136.915
391	4582411.081
392	4581833.946
393	4581501.354
394	4581067.97
395	4580460.909
396	4579896.042
397	4579124.584
398	4578687.659
399	4578486.315
400	4570172.317
401	4569668.715
402	4569455.848
403	4568973.031
404	4568515.256
405	4567442.691
406	4566573.514
407	4565567.348
408	4565351.617
409	4564806.118
410	4556811.096
411	4556053.506
412	4548462.646
413	4547877.159
414	4540493.093
415	4539803.011
416	4539065.828
417	4538824.149
418	4538296.484
419	4537754.096
420	4530658.814
421	4523826.502
422	4523392.948
423	4522966.49
424	4522278.726
425	4521152.647
426	4520875.373
427	4520467.564
428	4520007.851
429	4519553.061
430	4519237.981
431	4519055.709
432	4518668.459
433	4518519.271
434	4518045.148
435	4517441.204
436	4517108.645
437	4516713.763
438	4510157.887
439	4509818.606
440	4509609.96
441	4509249.521
442	4508621.872
443	4507505.569
444	4507305.197
445	4506591.873
446	4505282.942
447	4504824.565
448	4504242.532
449	4504056.327
450	4503742.787
451	4503192.4
452	4501298.521
453	4500727.056
454	4500286.541
455	4499902.485
456	4493633.797
457	4493303.079
458	4487271.723
459	4486997.298
460	4486688.026
461	4480866.362
462	4480618.781
463	4480342.653
464	4479916.053
465	4479067.443
466	4478481.841
467	4478108.327
468	4477730.703
469	4472147.035
470	4471547.057
471	4471147.362
472	4465818.402
473	4465407.274
474	4460260.349
475	4459675.186
476	4459250.343
477	4455327.597
478	4455033.444
479	4454735.743
480	4454466.057
481	4454171.273
482	4453772.518
483	4453189.458
484	4452847.982
485	4452519.446
486	4452062.776
487	4451794.772
488	4451549.4
489	4451253.081
490	4450946.859
491	4449975.618
492	4449291.065
493	4448499.415
494	4447918.244
495	4447642.91
496	4446393.875
497	4445433.538
498	4444869.608
499	4444631.298
500	4443280.468
501	4442777.89
502	4442637.292
503	4442107.801
504	4441447.002
505	4440004.061
506	4439403.43
507	4438909.375
508	4438612.664
509	4430137.868
510	4429633.708
511	4429491.908
512	4429260.452
513	4427507.464
514	4427223.414
515	4426478.91
516	4426190.171
517	4425437.493
518	4425315.913
519	4424849.265
520	4424225.531
521	4416518.487
522	4415480.814
523	4415083.202
524	4414647.894
525	4414183.075
526	4413563.664
527	4413364.56
528	4413130.396
529	4412918.521
530	4411985.413
531	4411719.826
532	4411467.393
533	4411301.498
534	4410958.392
535	4410624.927
536	4410173.633
537	4409914.686
538	4407812.929
539	4407416.083
540	4407289.945
541	4407121.105
542	4406455.062
543	4405890.855
544	4404758.988
545	4403682.653
546	4403447.15
547	4401169.434
548	4400938.928
549	4400732.098
550	4400567.486
551	4399436.368
552	4399208.513
553	4398987.815
554	4397965.482
555	4397532.049
556	4397011.678
557	4396548.451
558	4396351.768
559	4396076.878
560	4395818.778
561	4395612.927
562	4395074.613
563	4394593.978
564	4394227.11
565	4392852.86
566	4392645.912
567	4392179.077
568	4391936.67
569	4391665.168
570	4391454.751
571	4390223.714
572	4389802.095
573	4388881.692
574	4388609.629
575	4386627.901
576	4386061.222
577	4379000.368
578	4378599.479
579	4378073.749
580	4376167.732
581	4375977.865
582	4375477.626
583	4374793.613
584	4373014.15
585	4372693.191
586	4370804.006
587	4370361.662
588	4370141.231
589	4369939.948
590	4369746.975
591	4369165.362
592	4368923.819
593	4368717.029
594	4368465.07
595	4368257.604
596	4366686.333
597	4365916.235
598	4365704.159
599	4364954.031
600	4364523.543
601	4364311.568
602	4364015.852
603	4363839.751
604	4363468.888
605	4363201.756
606	4362793.61
607	4362487.21
608	4362140.312
609	4361918.449
610	4355515.677
611	4355275.089
612	4355098.344
613	4354406.746
614	4354113.247
615	4353825.204
616	4353238.014
617	4352880.497
618	4352680.738
619	4352041.21
620	4351674.514
621	4351380.358
622	4350992.444
623	4350456.285
624	4350260.125
625	4349630.566
626	4347389.038
627	4346532.525
628	4346312.783
629	4346017.248
630	4342724.236
631	4342319.073
632	4341993.768
633	4341485.029
634	4341018.131
635	4340763.36
636	4340627.698
637	4340273.54
638	4339497.485
639	4333186.641
640	4332523.665
641	4332206.297
642	4331894.62
643	4331464.093
644	4330773.328
645	4330400.695
646	4329985.44
647	4329202.279
648	4328637.985
649	4328282.438
650	4327907.385
651	4327455.163
652	4327035.628
653	4326882.804
654	4326619.691
655	4326193.377
656	4325759.975
657	4324888.913
658	4324493.4
659	4324155.228
660	4323909.394
661	4322257.84
662	4322148.358
663	4321983.793
664	4321397.502
665	4319916.917
666	4319166.206
667	4318841.24
668	4318104.321
669	4317543.669
670	4317470.614
671	4317110.695
672	4316948.239
673	4316657.655
674	4316574.587
675	4311479.342
676	4311365.363
677	4311243.548
678	4310905.708
679	4310257.063
680	4309949.898
681	4309427.618
682	4309227.356
683	4308754.131
684	4308403.464
685	4308084.135
686	4307879.207
687	4307798.108
688	4307567.212
689	4298928.452
690	4298190.579
691	4297877.154
692	4297601.695
693	4297340.372
694	4297094.757
695	4297020.541
696	4296084.397
697	4291177.043
698	4290904.532
699	4290522.084
700	4290380.723
701	4290049.925
702	4289892.811
703	4289737.555
704	4289579.623
705	4284868.637
706	4284525.018
707	4283572.908
708	4283114.121
709	4282924.164
710	4282494.554
711	4282179.677
712	4281944.013
713	4281725.192
714	4281480.138
715	4281265.569
716	4280972.667
717	4280758.122
718	4280575.578
719	4280374.861
720	4280159.961
721	4277248.127
722	4277032.542
723	4275631.69
724	4275402.64
725	4275075.268
726	4274725.646
727	4272863.308
728	4268449.955
729	4268169.854
730	4267600.193
731	4267531.706
732	4265903.475
733	4265526.173
734	4265159.666
735	4264828.11
736	4263989.281
737	4263185.037
738	4263001.49
739	4262615.704
740	4262113.935
741	4261866.71
742	4261469.553
743	4261185.21
744	4260968.87
745	4260610.155
746	4260390.792
747	4258919.842
748	4258473.745
749	4258204.166
750	4257245.634
751	4256675.263
752	4256173.157
753	4255883.733
754	4255652.242
755	4254285.667
756	4253928.972
757	4253705.825
758	4253317.629
759	4253258.417
760	4252959.235
761	4252828.952
762	4251215.403
763	4251022.361
764	4250299.47
765	4247720.61
766	4244033.94
767	4243639.259
768	4243433.559
769	4243009.961
770	4242659.164
771	4242098.722
772	4241895.538
773	4241589.907
774	4241281.851
775	4240516.702
776	4240387.55
777	4240188.484
778	4239954.846
779	4237614.534
780	4237391.997
781	4233420.135
782	4233102.37
783	4232685.964
784	4232496.464
785	4232293.089
786	4232129.486
787	4231681.683
788	4230242.906
789	4230163.198
790	4229870.724
791	4229542.896
792	4229437.369
793	4229153.366
794	4229021.86
795	4228641
796	4228457.041
797	4227793.746
798	4227451.791
799	4226971.093
800	4226774.22
801	4226470.291
802	4226337.873
803	4226138.423
804	4225628.976
805	4225067.147
806	4224931.834
807	4224878.769
808	4224073.124
809	4223695.262
810	4223486.706
811	4223106.503
812	4222936.496
813	4222373.159
814	4222102.692
815	4222024.696
816	4221820.285
817	4221643.038
818	4221366.554
819	4220987.941
820	4220935.629
821	4220372.746
822	4220200.867
823	4214618.449
824	4214316.536
825	4214211.667
826	4213766.376
827	4213595.686
828	4212280.566
829	4212045.872
830	4211813.208
831	4208005.249
832	4207596.907
833	4207472.128
834	4207291.455
835	4207115.043
836	4206152.479
837	4205113.429
838	4204808.017
839	4204387.182
840	4203599.823
841	4203164.246
842	4202777.908
843	4202514.731
844	4202215.308
845	4202000.195
846	4201731.121
847	4200973.777
848	4200825.168
849	4200648.595
850	4200324.428
851	4200160.523
852	4200037.713
853	4199332.986
854	4199193.756
855	4198823.407
856	4197768.58
857	4197544.841
858	4197239.111
859	4196254.419
860	4195998.764
861	4195961.278
862	4195725.282
863	4195033.916
864	4194754.41
865	4194502.558
866	4193584.583
867	4193476.752
868	4193326.349
869	4193085.406
870	4192969.12
871	4192759.712
872	4192496.054
873	4191618.084
874	4191114.817
875	4190257.116
876	4186553.216
877	4186370.492
878	4185720.435
879	4185372.638
880	4185010.878
881	4184817.703
882	4184621.295
883	4184465.679
884	4184188.511
885	4183998.449
886	4183791.409
887	4183579.709
888	4183175.762
889	4183010.742
890	4182073.559
891	4181439.42
892	4181206.646
893	4181111.176
894	4180697.379
895	4177208.69
896	4177042.031
897	4176211.308
898	4175834.637
899	4175484.635
900	4173615.696
901	4173417.209
902	4173291.119
903	4172970.384
904	4172811.989
905	4172680.042
906	4172546.62
907	4170667.685
908	4170296.017
909	4170130.92
910	4169887.21
911	4169420.946
912	4169225.788
913	4167196.898
914	4167055.027
915	4166787.167
916	4166701.26
917	4166597.209
918	4166296.866
919	4164330.832
920	4164086.468
921	4163395.121
922	4163263.209
923	4163119.587
924	4162846.283
925	4162661.5
926	4162363.44
927	4159129.867
928	4158890.795
929	4158582.487
930	4158277.642
931	4155135.519
932	4154805.503
933	4154711.487
934	4154467.411
935	4154286.94
936	4151328.362
937	4150927.911
938	4150341.36
939	4150231.691
940	4150045.317
941	4149229.921
942	4149004.104
943	4143619.777
944	4143378.963
945	4129673.806
946	4129222.158
947	4129040.341
948	4128496.894
949	4128195.719
950	4127993.854
951	4127677.739
952	4127521.268
953	4126985.327
954	4126773.256
955	4126416.505
956	4126206.685
957	4125103.273
958	4124953.607
959	4124792.672
960	4123690.723
961	4122895.215
962	4122859.244
963	4122687.079
964	4122520.288
965	4122318.015
966	4122073.851
967	4121890.758
968	4121642.872
969	4120954.596
970	4120738.799
971	4120408.98
972	4120191.283
973	4120083.991
974	4119981.588
975	4119688.699
976	4119322.937
977	4119179.62
978	4118867.394
979	4118657.454
980	4118296.559
981	4117880.655
982	4113433.898
983	4113233.132
984	4112352.466
985	4112060.012
986	4111668.651
987	4111478.839
988	4111254.517
989	4110496.226
990	4110274.766
991	4110099.537
992	4109938.077
993	4109792.303
994	4109421.985
995	4109220.138
996	4109031.302
997	4108906.328
998	4108635.554
999	4108531.249
