iter	Passed	Remaining
0	85	85467
1	100	49943
2	114	37887
3	128	31989
4	141	28221
5	155	25712
6	168	23943
7	182	22591
8	195	21534
9	208	20689
10	222	19969
11	235	19430
12	249	18928
13	262	18513
14	276	18167
15	292	17998
16	306	17721
17	320	17477
18	334	17259
19	348	17074
20	362	16882
21	375	16681
22	389	16538
23	403	16389
24	416	16261
25	430	16116
26	443	15995
27	462	16066
28	476	15947
29	490	15872
30	505	15803
31	519	15703
32	533	15628
33	549	15599
34	561	15485
35	574	15385
36	603	15703
37	618	15654
38	632	15575
39	645	15501
40	660	15460
41	675	15396
42	691	15383
43	704	15302
44	718	15237
45	732	15197
46	746	15142
47	760	15075
48	775	15042
49	790	15010
50	803	14945
51	817	14899
52	832	14867
53	846	14824
54	859	14769
55	873	14729
56	887	14687
57	902	14654
58	917	14629
59	931	14587
60	948	14593
61	961	14542
62	973	14486
63	987	14449
64	1000	14395
65	1015	14371
66	1028	14322
67	1041	14276
68	1056	14251
69	1069	14206
70	1083	14171
71	1096	14133
72	1109	14092
73	1124	14070
74	1138	14039
75	1152	14007
76	1165	13971
77	1179	13936
78	1193	13919
79	1207	13884
80	1220	13852
81	1234	13820
82	1248	13798
83	1262	13769
84	1277	13752
85	1290	13714
86	1304	13688
87	1318	13663
88	1331	13624
89	1345	13600
90	1357	13562
91	1371	13538
92	1384	13503
93	1399	13490
94	1412	13458
95	1426	13429
96	1439	13401
97	1455	13394
98	1481	13478
99	1499	13498
100	1513	13472
101	1530	13475
102	1545	13463
103	1560	13447
104	1574	13422
105	1589	13401
106	1602	13377
107	1620	13388
108	1633	13356
109	1649	13343
110	1662	13315
111	1676	13296
112	1690	13270
113	1704	13244
114	1718	13222
115	1732	13201
116	1745	13176
117	1762	13173
118	1777	13159
119	1790	13131
120	1804	13105
121	1818	13086
122	1831	13057
123	1844	13030
124	1857	13005
125	1870	12978
126	1885	12959
127	1898	12932
128	1911	12908
129	1925	12884
130	1938	12860
131	1952	12836
132	1965	12811
